order_id,sys_a_amount_attribute_1,date
90014073,84.41000366,2024-02-04
73239761,40000.0,2024-04-17
78839426,7120.0,2024-10-07
53186640,68.0,2024-04-30
37331518,50.0,2024-07-18
67468527,1275.0,2024-07-23
42205539,350.0,2024-09-08
44316620,700.0,2024-08-16
40908049,1000.0,2024-06-08
43371350,7000.0,2024-05-08
32179801,25.0,2024-07-08
17771704,1700.0,2024-08-13
36051516,675.0,2024-08-13
74679886,20.29999924,2024-08-13
41919651,270.0,2024-08-13
70316575,15.0,2024-08-25
83413298,52.0,2024-08-25
49881751,10000.0,2024-08-26
44997447,180.0,2024-08-26
89968841,6083.0,2024-08-26
85884133,150.0,2024-08-26
60104471,100.0,2024-08-26
13227660,4000.0,2024-08-26
88813193,7384.0,2024-08-26
11570297,350.0,2024-08-26
92873637,15.0,2024-08-26
43695040,22.0,2024-08-26
63871003,20.0,2024-08-26
76366358,5.0,2024-08-26
83911583,100.0,2024-08-26
81917918,10.0,2024-08-26
64990183,10500.0,2024-03-09
76783419,5060.0,2024-09-27
96468014,11.39000034,2024-05-04
74785864,575.0,2024-04-17
70826402,520.0,2024-04-28
45031467,20.0,2024-11-10
65781697,2.0,2024-07-16
99617229,12000.0,2024-07-23
25752551,35.0,2024-07-29
95197689,11.19999981,2024-06-08
89151560,1225.0,2024-08-13
79471280,667.9000244,2024-08-13
36669936,256.8099976,2024-08-13
65981988,40.0,2024-08-13
16780815,350.0,2024-08-25
34949731,340.0,2024-08-26
84490819,9000.0,2024-08-26
32805372,700.0,2024-08-26
80266019,1000.0,2024-08-26
48732520,1750.0,2024-08-26
63126963,810.0,2024-08-26
49176653,84.0,2024-08-26
17396018,362.0,2024-08-27
81306467,200.0,2024-08-26
43543651,76.0,2024-08-26
69007428,2.0,2024-08-26
36702557,600.0,2024-08-25
23310712,15000.0,2024-08-26
71372534,60.0,2024-08-26
69072313,223.0,2024-08-26
13631362,340.0,2024-08-26
18297514,7.699999809,2024-09-18
27178082,35.0,2024-09-27
15774621,1059.0,2024-12-10
71878823,3.630000114,2024-10-25
56893464,230.0,2024-10-26
85688856,102.0,2024-11-16
57673464,173.0,2024-11-19
99927636,100.0,2024-12-11
68510151,35.0,2024-01-12
63554274,58.0,2024-04-13
79338124,507.0,2024-04-26
19198324,2040.0,2024-08-05
80445127,5400.0,2024-07-16
51193080,28000.0,2024-07-29
45013796,108.0,2024-07-27
46885315,2016.0,2024-07-23
47221480,150.0,2024-07-08
50157984,132.5,2024-06-08
30529465,300.0,2024-08-13
30725357,555.0,2024-08-13
30385965,100.3000031,2024-08-13
54749274,3358.100098,2024-08-26
35025502,495.5,2024-08-26
27937114,57.0,2024-08-26
64406097,3.0,2024-08-26
43351344,3050.0,2024-08-26
29630654,406.0,2024-08-26
25544476,16.0,2024-08-26
23126828,8500.0,2024-08-26
42071204,100.0,2024-08-26
22592504,6.300000191,2024-08-26
80888552,150.0,2024-08-26
45864178,10.0,2024-08-26
95202800,10.0,2024-08-26
71994644,50.0,2024-08-26
22080766,313.0,2024-08-26
51144519,174.0,2024-02-09
95801678,10000.0,2024-04-09
85992415,84.5,2024-09-18
72160656,28000.0,2024-01-10
80573428,70000.0,2024-06-10
39706069,2170.0,2024-10-22
26832395,1624.0,2024-11-14
