order_id,sys_a_amount_attribute_1,date
92724424,299.001,2024-06-27
81694939,1189.004,2024-06-28
61666304,2199.008,2024-06-30
25426219,538.997,2024-06-23
74581255,679.004,2024-06-30
71871238,599.004,2024-06-28
40409110,593.996,2024-06-30
96597086,1189.004,2024-06-30
86999704,599.004,2024-06-30
26293559,298.998,2024-06-25
18703983,299.001,2024-06-28
38644878,1889.004,2024-06-28
58985521,424.001,2024-06-26
38012937,638.999,2024-06-29
12447985,1798.99,2024-06-30
15893476,638.999,2024-06-27
72424293,423.999,2024-06-28
27421149,558.999,2024-06-30
44322063,835.002,2024-06-30
76138287,499.002,2024-06-28
57358492,512.001,2024-06-29
27839712,626.002,2024-06-27
10378957,424.001,2024-06-27
23668051,1349.0,2024-06-30
32828919,1189.004,2024-06-28
90223766,698.996,2024-06-27
93159497,848.999,2024-06-29
50802353,599.004,2024-06-25
31371775,764.002,2024-06-30
43537436,479.0,2024-06-29
50797710,448.997,2024-06-30
13740743,739.998,2024-06-30
83085549,699.004,2024-06-25
65945950,1438.999,2024-06-30
56015286,679.004,2024-06-24
35506089,999.002,2024-06-29
84217072,778.995,2024-06-30
80979890,453.999,2024-06-28
52365329,801.003,2024-06-27
10887391,686.997,2024-06-29
43481038,616.0,2024-06-29
94091558,1274.0,2024-06-30
88355352,919.005,2024-06-27
65187530,399.0,2024-06-26
22481397,1499.008,2024-06-30
98697169,649.005,2024-06-28
61691722,1298.999,2024-06-28
69497479,649.0,2024-06-26
24624130,808.999,2024-06-26
63899314,298.998,2024-06-29
57293776,558.999,2024-06-29
95939636,1146.005,2024-06-25
50873903,479.002,2024-06-28
60380500,1148.997,2024-06-29
11260571,848.999,2024-06-29
90743974,269.0,2024-06-28
23659772,908.996,2024-06-30
55833440,988.995,2024-06-27
59342395,398.003,2024-06-28
95982037,1614.004,2024-06-29
43036817,673.995,2024-06-28
80591803,558.999,2024-06-28
41764630,519.005,2024-06-26
78397471,1499.002,2024-06-28
39125442,998.996,2024-06-30
17896629,949.004,2024-06-28
76917486,498.999,2024-06-29
13860603,538.997,2024-06-24
61158373,749.0,2024-06-28
75112352,949.001,2024-06-30
40217584,798.997,2024-06-27
76016985,558.999,2024-06-30
30851631,1063.004,2024-06-29
26993636,778.995,2024-06-27
86790891,749.005,2024-06-29
79704279,1329.004,2024-06-29
70359337,919.005,2024-06-27
78148809,999.002,2024-06-28
72626741,674.005,2024-06-29
77302816,1375.998,2024-06-27
40115389,488.996,2024-06-27
47641156,1189.004,2024-06-30
35570392,419.003,2024-06-28
73488169,499.005,2024-06-30
82673613,876.005,2024-06-29
48205992,599.004,2024-06-27
78465413,878.997,2024-06-29
18042342,538.99,2024-06-30
92099283,629.003,2024-06-27
40649576,464.005,2024-06-28
85876235,1103.996,2024-06-28
25884711,698.996,2024-06-28
32547686,849.005,2024-06-29
93072963,599.004,2024-06-29
37963381,2717.99,2024-06-30
93765770,339.003,2024-06-30
81863808,698.996,2024-06-30
56348637,908.996,2024-06-28
43674347,512.001,2024-06-29
27464375,679.004,2024-06-29
24653905,778.995,2024-06-28
64678071,974.002,2024-06-30
79470276,1699.0,2024-06-28
79107645,993.004,2024-06-28
87658728,419.003,2024-06-27
65923092,599.004,2024-06-29
86257496,638.999,2024-06-27
46912463,1248.995,2024-06-30
81684503,798.998,2024-06-29
35039742,449.001,2024-06-29
41180238,599.004,2024-06-22
10038990,798.997,2024-06-30
94930629,419.003,2024-06-30
80262039,489.004,2024-06-26
86642696,474.002,2024-06-29
93956417,629.003,2024-06-29
98569118,503.004,2024-06-29
42406788,348.999,2024-06-30
32190169,798.997,2024-06-26
89235752,499.005,2024-06-28
14088121,1910.999,2024-06-29
95535175,2105.002,2024-06-27
10820742,1049.003,2024-06-29
30563257,488.996,2024-06-28
82084704,339.003,2024-06-29
90894282,479.0,2024-06-28
59732239,739.998,2024-06-27
27315614,718.998,2024-06-29
14826626,999.002,2024-06-29
98520555,638.999,2024-06-27
42539912,587.004,2024-06-28
80905796,593.996,2024-06-28
38805564,319.001,2024-06-29
14317465,399.0,2024-06-25
46391188,448.997,2024-06-27
22952158,419.003,2024-06-24
90028123,607.005,2024-06-30
13044077,649.005,2024-06-30
21191269,479.0,2024-06-30
83373551,299.001,2024-06-27
47801234,339.003,2024-06-27
16256614,314.003,2024-06-27
50594512,449.002,2024-06-30
11343952,3199.0,2024-06-28
90926527,1199.005,2024-06-27
35397490,419.003,2024-06-27
97908355,269.0,2024-06-30
60061648,599.004,2024-06-25
39369517,599.004,2024-06-29
33788837,599.004,2024-06-28
62708578,463.995,2024-06-27
59840262,1148.99,2024-06-30
90394776,568.995,2024-06-28
66917018,908.996,2024-06-30
63351595,499.002,2024-06-30
85713349,499.002,2024-06-30
82597278,235.998,2024-06-27
